ts,"t1p_belastningil3 | powerlab/bornholm/nm/sec/ost/t1p_belastningil3 | 516132","t1s_reaktiveffekt | powerlab/bornholm/nm/sec/ost/t1s_reaktiveffekt | 516139","t1s_cosphi | powerlab/bornholm/nm/sec/ost/t1s_cosphi | 516136","t1s_frekvens | powerlab/bornholm/nm/sec/ost/t1s_frekvens | 516138","t1s_sptrinvisning | powerlab/bornholm/nm/sec/ost/t1s_sptrinvisning | 516143","t1s_cosphitrf1 | powerlab/bornholm/nm/sec/ost/t1s_cosphitrf1 | 516137","t1s_belastning | powerlab/bornholm/nm/sec/ost/t1s_belastning | 516135","t1s_spendingvl3 | powerlab/bornholm/nm/sec/ost/t1s_spendingvl3 | 516142","t1s_10kvskinnespend | powerlab/bornholm/nm/sec/ost/t1s_10kvskinnespend | 516133","t1s_spendingvl2 | powerlab/bornholm/nm/sec/ost/t1s_spendingvl2 | 516141","t1s_aktiveffekt | powerlab/bornholm/nm/sec/ost/t1s_aktiveffekt | 516134","t1s_spendingvl1 | powerlab/bornholm/nm/sec/ost/t1s_spendingvl1 | 516140","t1p_belastningil2 | powerlab/bornholm/nm/sec/ost/t1p_belastningil2 | 516131","t1p_belastningil1 | powerlab/bornholm/nm/sec/ost/t1p_belastningil1 | 516130"
"2024-03-11 08:31:35",,,,,,0.869637787342072,,,,,,,,
"2024-03-11 08:31:45",,,,,,0.869637787342072,,,,,,,,15.8207950592041
"2024-03-11 08:31:55",,,,,,0.869637787342072,,,,,,,,
"2024-03-11 08:32:05",,,,,,0.869637787342072,,,,,,,,
"2024-03-11 08:32:15",,,,,,0.869637787342072,,,,,,,,
"2024-03-11 08:32:21",,,,,,,92.8446273803711,,,,,,,
"2024-03-11 08:32:25",,,,,,0.869637787342072,92.8446273803711,,,,,,,
"2024-03-11 08:32:28",,,,,,,,,,,,,15.9379863739014,
"2024-03-11 08:32:30",,,,,,,,,,,,,15.9379863739014,
"2024-03-11 08:32:35",,,,,,0.869637787342072,,,,,,,,
"2024-03-11 08:32:45",,,,,5.14993762969971,0.869637787342072,,,,,,6.02835607528687,,
"2024-03-11 08:32:55",,,,,,0.869637787342072,,,,,,,,
"2024-03-11 08:32:57",,,,,,,94.0165405273438,,,,,,,
"2024-03-11 08:33:00",,,,,,,94.0165405273438,,,,,,,
"2024-03-11 08:33:05",,,,,,0.869637787342072,,,,,,,,
"2024-03-11 08:33:12",,-0.548303604125977,,,,,,,,,,,,
"2024-03-11 08:33:15",,-0.548303604125977,,,,0.869637787342072,,,,,,,,
"2024-03-11 08:33:25",,,,,,0.869637787342072,,,,,,,,
"2024-03-11 08:33:30",,,,,5.14285755157471,,,,,,,,,
"2024-03-11 08:33:35",,,,,,0.869637787342072,,,,,,,,
"2024-03-11 08:33:43",,,,,,,,,,,1.66825485229492,,,
"2024-03-11 08:33:44",,,,,,,96.8291244506836,,,,,,,
"2024-03-11 08:33:45",,,,,,0.869637787342072,96.8291244506836,,,,1.66825485229492,,,
"2024-03-11 08:33:55",,,,,,0.869637787342072,,,,,,,,
"2024-03-11 08:34:05",,,,,,0.869637787342072,,,,,,,,
"2024-03-11 08:34:14",15.7621994018555,,,,,,,,,,,,,
"2024-03-11 08:34:15",15.7621994018555,,,,,0.869637787342072,,,,,,,16.1137733459473,
"2024-03-11 08:34:25",,,,,,0.869637787342072,,,,,,,,
"2024-03-11 08:34:29",,,,,,,,,,,,,,16.1723690032959
"2024-03-11 08:34:30",,,,50.0112915039063,,,,,10.5083770751953,,,,,16.1723690032959
